region,growth_2030_vs_2025_pct,growth_2040_vs_2025_pct,growth_2050_vs_2025_pct,note
日本,-5,-10,-15,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
北米,5,10,15,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
中南米,10,20,30,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
欧州,2,4,5,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
CIS,3,6,10,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
中国,-10,-18,-25,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
アジア,20,45,70,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
オセアニア,4,8,10,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
中近東,12,25,40,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
アフリカ,25,65,120,外部長期予測の形式を模した架空の値。本番では自社保有の外部資料の値に置き換える想定
